"Vicugna_vicugna"	"Lama_guanicoe"	"Camelus_dromedarius"	"Phacochoerus_africanus"	"Hippopotamus_amphibius"	"Tursiops_truncatus"	"Megaptera_novaeangliae"	"Eubalaena_glacialis"	"Tragulus_napu"	"Tragulus_javanicus"	"Okapia_johnstoni"	"Giraffa_camelopardalis"	"Axis_porcinus"	"Axis_axis"	"Cervus_nippon"	"Tragelaphus_strepsiceros"	"Tragelaphus_eurycerus"	"Taurotragus_oryx"	"Bos_indicus"	"Syncerus_caffer"	"Aepyceros_melampus"	"Gazella_spekei"	"Antilope_cervicapra"	"Nanger_granti"	"Antidorcas_marsupialis"	"Connochaetes_taurinus"	"Alcelaphus_buselaphus"	"Budorcas_taxicolor"	"Pseudois_nayaur"	"Ovis_canadensis"	"Hippotragus_niger"	"Oryx_gazella"	"Addax_nasomaculatus"
"Firmicutes_Clostridiales"	0.455351931831446	0.651743141990216	0.213151515151515	0.316653080543795	0.414743405024494	0.521799628942486	0.817676345531853	0.72587216927516	0.311355693495384	0.575062058430399	0.508647275059828	0.519017926734217	0.595520339406039	0.497899159663866	0.662917724835732	0.52033838299141	0.493209783913565	0.422238889930621	0.49119466920514	0.610661247642316	0.566950549133947	0.623105722945266	0.497666725736901	0.61902790474726	0.532425150836717	0.432166249661349	0.534448710916072	0.462613981762918	0.660325566549633	0.672115546100879	0.499497526283241	0.551322686821894	0.599559821483157
"Proteobacteria_Enterobacteriales"	0.00116726975604062	0.000433463372345037	0.000121212121212121	0.00118330747587368	0.000209572210724858	0	0	1.74871032613448e-05	0.00328621355171874	0.26778690089746	0.00345397577282708	0.0122174590802806	0.00043673571250312	0.00457241720217499	0.000443423227314871	0.0013229731492351	0.000675270108043217	0.00202512657041065	0.000370194087471574	0.000240091886241814	0.000322681018289099	0	0.000413491641561817	0.00107978039395931	0.0421836856018923	0.089212577092862	0.000438837081733406	0.000552638850511191	0.000319182891797	0	0.00707328385899814	0.000152383274411801	0.000855902671639053
"Bacteroidetes_Bacteroidales"	0.461655188514066	0.329679856337854	0.246666666666667	0.565147650477267	0.326277735572263	0.0184369202226345	0.113929570810772	0.218658739179855	0.573731156434197	0.11201069314493	0.285347741346557	0.417829306313328	0.390940853506364	0.435615422639644	0.304027089128069	0.420668194607487	0.4953106242497	0.472135758484905	0.497699508170712	0.365590318345221	0.419750383183709	0.355797230641231	0.361923326835608	0.370794446875875	0.374429223744292	0.378747071666481	0.438507953922106	0.526443768996961	0.326843281200128	0.313889044393439	0.42756648113791	0.430482750213337	0.370728128629944
"Firmicutes_Lactobacillales"	0.0630325668261935	0.000123846677812868	0.000484848484848485	0.000683688763838123	0.000419144421449716	0.0667903525046382	0.0120289275720464	0.00229081052723616	0.00146053935631944	0.000190949016612564	0.000345397577282708	0.00038971161340608	6.23908160718742e-05	0.00117399901136925	0.00012093360744951	0.0221365084688915	0.000450180072028812	0.000262516407275455	0.000211539478555185	0.00117844913667989	0.000887372800295023	0	0.0326658396833835	0.00136986224210175	0.00151785375479073	0.00140241278745478	0.000713110257816785	0.00326056921801603	0.0002553463134376	0	0.00125618429189858	0.00749725710106059	0.000183407715351226
"Fusobacteria_Fusobacteriales"	0	0.000495386711251471	6.06060606060606e-05	0.000105182886744327	0	0	3.63411709125268e-05	0.0025006557663723	0.019299984351364	0.00141302272293298	7.40137665605803e-05	5.84567420109119e-05	0	0.000247157686604053	0.00024186721489902	0.00203104328544543	7.50300120048019e-05	1.87511719482468e-05	0.000158654608916389	4.94108652695969e-06	6.91459324905212e-05	0	0	1.68979717364525e-06	0.000240326844508532	6.37460357933991e-05	0.0150850246845858	0	0.0001276731567188	0	0.000367192331478046	6.09533097647202e-05	0
"Proteobacteria_Pseudomonadales"	0.000116726975604062	0.000371540033438603	0.338363636363636	0.000262957216860817	0.0352081314017761	0.129986085343228	0.000181705854562634	0.000944303576112617	0.00198216055500496	0.0164598052320031	0.134902425184418	0.0139321901792673	0.000187172448215623	6.17894216510134e-05	0.000604668037247551	0.000372668492742281	0.000562725090036014	0.00318769923120195	0.00206250991591306	0.000140820966018351	0.00116395653025711	0.000178284899269032	0.0085651840037805	0.00132818057848516	0.00509745885983885	0.0187891440501044	0.000274273176083379	0	0.001595914458985	0.000111963276045457	0.000309214594928881	0.000822869681823723	0
"Actinobacteria_Actinomycetales"	0.000875452317030466	0.00111462010031581	0.036969696969697	0.000262957216860817	0.00594661147931784	0	0.000254388196387688	0.000209845239136137	0.000104324239737103	0.00744701164789001	0.0153701921890805	0.00019485580670304	0.000561517344646868	0.000432525951557093	0.00124964727697827	0.00175154191588872	0.000262605042016807	0.014213388336771	0	0.000522632197647055	0.000218962119553317	0.000772567896832472	0.0406403213420757	0.000239951198657625	0.0015052049735008	0.0422954947489203	0	5.52638850511191e-05	0.000638365783593999	0	0.000734384662956092	0.000426673168353042	0.0112490065415418
"Proteobacteria_Campylobacterales"	0.00332671880471577	0.000185770016719301	0.00187878787878788	0.0319493018485892	0.000183375684384251	0.0223794063079777	3.63411709125268e-05	3.49742065226895e-05	0.0018256741953993	7.63796066450258e-05	0	0.00029228371005456	0.000187172448215623	6.17894216510134e-05	4.03112024831701e-05	0.000186334246371141	7.50300120048019e-05	7.5004687792987e-05	0	7.79344102206824e-05	0.0012907240731564	0.00172342069293397	0.000531632110579479	2.25306289819366e-06	7.58926877395363e-05	6.37460357933991e-05	0.000164563905650027	0.000221055540204476	0.0001915097350782	0	0.000927643784786642	0.00012190661952944	0.000855902671639053
"Firmicutes_Bacillales"	0.00764561690206607	0.00334386030094743	0.157575757575758	0.0160140945068237	0.19500694207948	0.0061456400742115	0	0.000961790679373962	5.21621198685515e-05	0.00313156387244606	0.0422371894505711	0.0261886204208885	0.00230846019465935	0.0521502718734553	0.0151167009311888	0.00428568766653623	0.000862845138055222	0.0789611850740671	0.00195674017663546	0.00575389526064456	0.00148663754854621	0.0063588280739288	0.0466654852619765	0.000705771952859165	0.033886085075703	0.0272992398285232	0.000713110257816785	0.000773694390715667	0.001595914458985	0.00447853104181828	0.0527597402597403	0.000822869681823723	0.0066638136577612
"Tenericutes_Mycoplasmatales"	0	0	0	0	0	0.215097402597403	0	0.000594561510885722	0	0.000114569409967539	2.46712555201934e-05	0	0	0	0	1.86334246371141e-05	0	0	0	3.36892263201797e-05	0.000276583729962085	0.000118856599512688	0.000118140469017662	3.94286007183891e-05	5.05951251596909e-05	0	0	0	0	0	0	0	0
